country,city,date,rain_sum
GB,London,2021-09-15,0.1
GB,London,2021-09-16,0.0
GB,London,2021-09-17,0.2
GB,London,2021-09-18,0.6
GB,London,2021-09-19,3.3
GB,London,2021-09-20,0.1
GB,London,2021-09-21,0.0
GB,London,2021-09-22,0.0
GB,London,2021-09-23,0.2
GB,London,2021-09-24,0.0
GB,London,2021-09-25,0.1
GB,London,2021-09-26,0.4
GB,London,2021-09-27,4.2
GB,London,2021-09-28,12.1
GB,London,2021-09-29,0.1
GB,London,2021-09-30,3.0
GB,London,2021-10-01,7.5
GB,London,2021-10-02,21.9
GB,London,2021-10-03,0.7
GB,London,2021-10-04,1.2
GB,London,2021-10-05,17.2
GB,London,2021-10-06,0.0
GB,London,2021-10-07,0.1
GB,London,2021-10-08,0.1
GB,London,2021-10-09,0.0
GB,London,2021-10-10,0.2
GB,London,2021-10-11,0.0
GB,London,2021-10-12,0.3
GB,London,2021-10-13,0.0
GB,London,2021-10-14,0.2
GB,London,2021-10-15,0.0
GB,London,2021-10-16,1.3
GB,London,2021-10-17,1.2
GB,London,2021-10-18,4.8
GB,London,2021-10-19,3.3
GB,London,2021-10-20,35.2
GB,London,2021-10-21,3.6
GB,London,2021-10-22,0.0
GB,London,2021-10-23,0.0
GB,London,2021-10-24,0.0
GB,London,2021-10-25,4.6
GB,London,2021-10-26,0.0
GB,London,2021-10-27,0.0
GB,London,2021-10-28,0.0
GB,London,2021-10-29,4.6
GB,London,2021-10-30,4.4
GB,London,2021-10-31,10.1
GB,London,2021-11-01,0.7
GB,London,2021-11-02,0.0
GB,London,2021-11-03,0.4
GB,London,2021-11-04,0.0
GB,London,2021-11-05,0.0
GB,London,2021-11-06,0.1
GB,London,2021-11-07,0.0
GB,London,2021-11-08,0.0
GB,London,2021-11-09,0.0
GB,London,2021-11-10,0.0
GB,London,2021-11-11,0.1
GB,London,2021-11-12,1.1
GB,London,2021-11-13,0.0
GB,London,2021-11-14,0.0
GB,London,2021-11-15,0.0
GB,London,2021-11-16,0.3
GB,London,2021-11-17,0.0
GB,London,2021-11-18,0.0
GB,London,2021-11-19,0.0
GB,London,2021-11-20,0.1
GB,London,2021-11-21,0.4
GB,London,2021-11-22,0.0
GB,London,2021-11-23,0.0
GB,London,2021-11-24,0.0
GB,London,2021-11-25,0.0
GB,London,2021-11-26,2.9
GB,London,2021-11-27,2.8
GB,London,2021-11-28,0.0
GB,London,2021-11-29,0.0
GB,London,2021-11-30,0.4
GB,London,2021-12-01,2.1
GB,London,2021-12-02,0.0
GB,London,2021-12-03,2.0
GB,London,2021-12-04,5.2
GB,London,2021-12-05,3.3
GB,London,2021-12-06,2.1
GB,London,2021-12-07,8.8
GB,London,2021-12-08,0.3
GB,London,2021-12-09,5.6
GB,London,2021-12-10,3.4
GB,London,2021-12-11,3.5
GB,London,2021-12-12,0.9
GB,London,2021-12-13,0.0
GB,London,2021-12-14,0.0
GB,London,2021-12-15,0.5
GB,London,2021-12-16,0.1
GB,London,2021-12-17,0.0
GB,London,2021-12-18,0.0
GB,London,2021-12-19,0.0
GB,London,2021-12-20,0.1
GB,London,2021-12-21,0.0
GB,London,2021-12-22,0.0
GB,London,2021-12-23,0.7
GB,London,2021-12-24,15.5
GB,London,2021-12-25,1.4
GB,London,2021-12-26,6.3
GB,London,2021-12-27,6.6
GB,London,2021-12-28,0.8
GB,London,2021-12-29,2.9
GB,London,2021-12-30,0.5
GB,London,2021-12-31,0.4
GB,London,2022-01-01,0.2
GB,London,2022-01-02,2.0
GB,London,2022-01-03,0.0
GB,London,2022-01-04,2.5
GB,London,2022-01-05,0.0
GB,London,2022-01-06,2.2
GB,London,2022-01-07,0.3
GB,London,2022-01-08,7.9
GB,London,2022-01-09,0.0
GB,London,2022-01-10,0.7
GB,London,2022-01-11,2.4
GB,London,2022-01-12,0.0
GB,London,2022-01-13,0.0
GB,London,2022-01-14,0.0
GB,London,2022-01-15,0.0
GB,London,2022-01-16,0.0
GB,London,2022-01-17,0.0
GB,London,2022-01-18,0.0
GB,London,2022-01-19,0.0
GB,London,2022-01-20,0.0
GB,London,2022-01-21,0.0
GB,London,2022-01-22,0.0
GB,London,2022-01-23,0.0
GB,London,2022-01-24,0.0
GB,London,2022-01-25,0.0
GB,London,2022-01-26,0.0
GB,London,2022-01-27,0.0
GB,London,2022-01-28,0.0
GB,London,2022-01-29,0.1
GB,London,2022-01-30,0.3
GB,London,2022-01-31,0.4
GB,London,2022-02-01,0.7
GB,London,2022-02-02,0.0
GB,London,2022-02-03,0.0
GB,London,2022-02-04,3.7
GB,London,2022-02-05,0.0
GB,London,2022-02-06,4.0
GB,London,2022-02-07,0.0
GB,London,2022-02-08,0.0
GB,London,2022-02-09,3.5
GB,London,2022-02-10,0.3
GB,London,2022-02-11,0.0
GB,London,2022-02-12,0.0
GB,London,2022-02-13,11.4
GB,London,2022-02-14,3.3
GB,London,2022-02-15,7.1
GB,London,2022-02-16,5.4
GB,London,2022-02-17,0.4
GB,London,2022-02-18,2.3
